epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,5819.86,0.83512,0.74553,1.23399,0.86435,0.83906,0.89998,0.71479,0.83844,0.62245,1.23433,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5951.62,0.83423,0.73933,1.23178,0.86864,0.84081,0.90149,0.71621,0.83766,0.6212,1.23443,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6082.16,0.82924,0.73699,1.23094,0.8754,0.83404,0.90225,0.71777,0.83658,0.61821,1.23408,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6213.04,0.83459,0.73517,1.23093,0.87941,0.83112,0.90338,0.71934,0.8353,0.61583,1.23237,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6335.5,0.81987,0.72329,1.22647,0.87998,0.83393,0.90377,0.72095,0.83293,0.61162,1.23088,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6441.89,0.81726,0.72001,1.22166,0.88303,0.83211,0.90497,0.72093,0.83168,0.61103,1.23038,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6547.78,0.81015,0.71148,1.21879,0.88852,0.82888,0.90571,0.72136,0.83229,0.60925,1.2304,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6654.6,0.81306,0.71084,1.21839,0.88572,0.83344,0.90677,0.72194,0.82958,0.60633,1.22796,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6765.49,0.81445,0.71081,1.22098,0.88447,0.83544,0.90586,0.72124,0.828,0.60413,1.22677,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6871.34,0.80935,0.70735,1.21623,0.8874,0.83427,0.90628,0.72078,0.82659,0.60207,1.22543,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6975.68,0.80609,0.69849,1.21408,0.89106,0.83351,0.90706,0.72224,0.82455,0.60006,1.22371,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7082.49,0.80621,0.69927,1.21394,0.90045,0.8294,0.90788,0.72359,0.82387,0.59967,1.22333,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7189.82,0.79892,0.68683,1.21018,0.8999,0.83151,0.90911,0.72556,0.82318,0.59783,1.22281,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7295.61,0.79697,0.68462,1.20762,0.89024,0.83636,0.90834,0.7255,0.82185,0.59695,1.22152,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7400.47,0.7932,0.68568,1.2059,0.88805,0.83747,0.90992,0.72673,0.82124,0.59562,1.22113,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7505.39,0.78972,0.67249,1.2022,0.8868,0.84081,0.9103,0.72657,0.82021,0.59468,1.22034,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7612.66,0.79051,0.67997,1.20338,0.88423,0.84423,0.91064,0.72678,0.81968,0.59389,1.21973,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7719.51,0.78173,0.66701,1.19804,0.88573,0.84188,0.91073,0.7269,0.81939,0.59297,1.21905,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7826.36,0.78423,0.6693,1.20041,0.88234,0.84725,0.91111,0.72714,0.81924,0.59231,1.21868,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7934.99,0.77153,0.66466,1.19457,0.88676,0.84386,0.91063,0.72778,0.81848,0.59139,1.2178,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8040.99,0.77346,0.65805,1.19273,0.88884,0.84442,0.91118,0.72856,0.81825,0.59069,1.21747,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8148.63,0.76985,0.65977,1.19348,0.88957,0.84433,0.91152,0.72851,0.81771,0.5897,1.21702,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,8255.96,0.7641,0.65106,1.18809,0.88882,0.84695,0.91177,0.7289,0.81691,0.58844,1.21638,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,8362.31,0.76664,0.64825,1.18716,0.8896,0.84665,0.91159,0.72891,0.81612,0.58774,1.21576,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8470.15,0.76389,0.64305,1.18656,0.89051,0.84649,0.91148,0.72882,0.81584,0.58701,1.21531,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8577.31,0.76574,0.63847,1.18408,0.89125,0.84787,0.91207,0.72863,0.81549,0.58669,1.21473,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8682.44,0.75702,0.63328,1.18042,0.89101,0.84959,0.91155,0.72826,0.81501,0.58579,1.21423,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8789.12,0.7571,0.63455,1.18104,0.8918,0.84917,0.91127,0.72873,0.81425,0.58463,1.21357,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8895.9,0.75374,0.63049,1.17784,0.8925,0.84841,0.91171,0.72867,0.81384,0.58379,1.21314,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9002.48,0.74832,0.62406,1.17811,0.89339,0.84888,0.91117,0.72851,0.81297,0.58303,1.21237,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,9110.03,0.75423,0.62515,1.17696,0.89409,0.84891,0.9118,0.729,0.81238,0.58186,1.21185,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,9217.14,0.73957,0.61414,1.16986,0.89466,0.84833,0.91204,0.72951,0.81155,0.58081,1.21135,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9324.76,0.73234,0.60507,1.1663,0.89408,0.84808,0.91223,0.72959,0.81117,0.58034,1.21117,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9431.58,0.73313,0.6101,1.17027,0.89503,0.84784,0.9125,0.73027,0.81079,0.57919,1.21079,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9537.22,0.73796,0.60793,1.16837,0.89481,0.84677,0.91318,0.73061,0.81035,0.57863,1.21055,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9640.38,0.73381,0.60106,1.16574,0.89562,0.84613,0.9135,0.73194,0.80995,0.57792,1.21014,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9747.24,0.72847,0.59963,1.16355,0.89596,0.84555,0.91393,0.73212,0.8096,0.57716,1.20984,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9853.7,0.72943,0.59585,1.16096,0.89574,0.84532,0.91398,0.73277,0.80887,0.57609,1.20931,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9958.29,0.72387,0.58743,1.1586,0.89603,0.84473,0.91415,0.73349,0.8084,0.57513,1.20894,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,10064.2,0.71926,0.58292,1.15563,0.89606,0.8459,0.91445,0.73483,0.80794,0.57396,1.20841,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,10171.4,0.72141,0.58535,1.156,0.89522,0.84679,0.91528,0.73519,0.80795,0.57298,1.20857,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10276.9,0.71325,0.57767,1.15464,0.89369,0.84663,0.91502,0.73575,0.8075,0.57217,1.20825,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10383.9,0.70584,0.56899,1.14791,0.89312,0.84609,0.91504,0.73518,0.807,0.57122,1.20771,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,10492.4,0.70287,0.56789,1.14744,0.8924,0.84721,0.91524,0.73624,0.80674,0.5707,1.20739,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10601.6,0.70201,0.56446,1.14555,0.8929,0.84785,0.91544,0.73633,0.80622,0.57004,1.207,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10706.7,0.70092,0.56097,1.14469,0.89343,0.84746,0.91566,0.7364,0.8059,0.56881,1.20662,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10813.2,0.70309,0.56032,1.14203,0.89783,0.84478,0.91578,0.73697,0.80525,0.56806,1.20622,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10921.3,0.69442,0.55517,1.14032,0.89793,0.84498,0.9159,0.73703,0.80484,0.5672,1.20582,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,11027.6,0.68936,0.55097,1.13951,0.89867,0.84429,0.91615,0.73687,0.80436,0.56616,1.20544,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,11133.2,0.63972,0.45713,1.1372,0.89672,0.84548,0.91616,0.73743,0.80401,0.56505,1.2051,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,11235.9,0.62322,0.43872,1.12734,0.90041,0.84356,0.91638,0.73772,0.80334,0.56408,1.20441,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,11339.8,0.61541,0.42883,1.11892,0.90101,0.84389,0.91668,0.73877,0.80269,0.5628,1.20389,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,11444.9,0.60652,0.41814,1.11303,0.90234,0.84378,0.91682,0.73892,0.80195,0.56163,1.20325,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11549.2,0.60031,0.41257,1.10945,0.90471,0.84269,0.91674,0.73901,0.80108,0.56046,1.20246,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,11653.2,0.59162,0.4078,1.10523,0.90582,0.84375,0.91701,0.73969,0.80028,0.55895,1.20182,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,11758.6,0.59112,0.40177,1.10001,0.90483,0.84429,0.9171,0.74019,0.79975,0.55764,1.20141,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,11863.6,0.58391,0.39885,1.09743,0.90459,0.84454,0.91688,0.74022,0.79916,0.5564,1.20093,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,11969,0.5831,0.3951,1.09437,0.90503,0.84429,0.91714,0.74138,0.79844,0.55539,1.20042,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,12081.5,0.57499,0.39007,1.09062,0.9056,0.84469,0.91698,0.74092,0.79798,0.5543,1.19997,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
